Month,Ridership
1991-01-01,1708.917
1991-02-01,1620.586
1991-03-01,1972.715
1991-04-01,1811.665
1991-05-01,1974.964
1991-06-01,1862.356
1991-07-01,1939.86
1991-08-01,2013.264
1991-09-01,1595.657
1991-10-01,1724.924
1991-11-01,1675.667
1991-12-01,1813.863
1992-01-01,1614.827
1992-02-01,1557.088
1992-03-01,1891.223
1992-04-01,1955.981
1992-05-01,1884.714
1992-06-01,1623.042
1992-07-01,1903.309
1992-08-01,1996.712
1992-09-01,1703.897
1992-10-01,1810
1992-11-01,1861.601
1992-12-01,1875.122
1993-01-01,1705.259
1993-02-01,1618.535
1993-03-01,1836.709
1993-04-01,1957.043
1993-05-01,1917.185
1993-06-01,1882.398
1993-07-01,1933.009
1993-08-01,1996.167
1993-09-01,1672.841
1993-10-01,1752.827
1993-11-01,1720.377
1993-12-01,1734.292
1994-01-01,1563.365
1994-02-01,1573.959
1994-03-01,1902.639
1994-04-01,1833.888
1994-05-01,1831.049
1994-06-01,1775.755
1994-07-01,1867.508
1994-08-01,1906.608
1994-09-01,1685.632
1994-10-01,1778.546
1994-11-01,1775.995
1994-12-01,1783.35
1995-01-01,1548.415
1995-02-01,1496.925
1995-03-01,1798.316
1995-04-01,1732.895
1995-05-01,1772.345
1995-06-01,1761.207
1995-07-01,1791.655
1995-08-01,1874.82
1995-09-01,1571.309
1995-10-01,1646.948
1995-11-01,1672.631
1995-12-01,1656.845
1996-01-01,1381.758
1996-02-01,1360.852
1996-03-01,1558.575
1996-04-01,1608.42
1996-05-01,1696.696
1996-06-01,1693.183
1996-07-01,1835.516
1996-08-01,1942.573
1996-09-01,1551.401
1996-10-01,1686.508
1996-11-01,1576.204
1996-12-01,1700.433
1997-01-01,1396.588
1997-02-01,1371.69
1997-03-01,1707.522
1997-04-01,1654.604
1997-05-01,1762.903
1997-06-01,1775.8
1997-07-01,1934.219
1997-08-01,2008.055
1997-09-01,1615.924
1997-10-01,1773.91
1997-11-01,1732.368
1997-12-01,1796.626
1998-01-01,1570.33
1998-02-01,1412.691
1998-03-01,1754.641
1998-04-01,1824.932
1998-05-01,1843.289
1998-06-01,1825.964
1998-07-01,1968.172
1998-08-01,1921.645
1998-09-01,1669.597
1998-10-01,1791.474
1998-11-01,1816.714
1998-12-01,1846.754
1999-01-01,1599.427
1999-02-01,1548.804
1999-03-01,1832.333
1999-04-01,1839.72
1999-05-01,1846.498
1999-06-01,1864.852
1999-07-01,1965.743
1999-08-01,1949.002
1999-09-01,1607.373
1999-10-01,1803.664
1999-11-01,1850.309
1999-12-01,1836.435
2000-01-01,1541.66
2000-02-01,1616.928
2000-03-01,1919.538
2000-04-01,1971.493
2000-05-01,1992.301
2000-06-01,2009.763
2000-07-01,2053.996
2000-08-01,2097.471
2000-09-01,1823.706
2000-10-01,1976.997
2000-11-01,1981.408
2000-12-01,2000.153
2001-01-01,1683.148
2001-02-01,1663.404
2001-03-01,2007.928
2001-04-01,2023.792
2001-05-01,2047.008
2001-06-01,2072.913
2001-07-01,2126.717
2001-08-01,2202.638
2001-09-01,1707.693
2001-10-01,1950.716
2001-11-01,1973.614
2001-12-01,1984.729
2002-01-01,1759.629
2002-02-01,1770.595
2002-03-01,2019.912
2002-04-01,2048.398
2002-05-01,2068.763
2002-06-01,1994.267
2002-07-01,2075.258
2002-08-01,2026.56
2002-09-01,1734.155
2002-10-01,1916.771
2002-11-01,1858.345
2002-12-01,1996.352
2003-01-01,1778.033
2003-02-01,1749.489
2003-03-01,2066.466
2003-04-01,2098.899
2003-05-01,2104.911
2003-06-01,2129.671
2003-07-01,2223.349
2003-08-01,2174.36
2003-09-01,1931.406
2003-10-01,2121.47
2003-11-01,2076.054
2003-12-01,2140.677
